level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1105	1107	-1	
2	1	1	0	0	0	20	20	1038	947	-1	
3	1	1	1	0	0	20	20	1038	928	-1	
4	1	1	1	1	0	20	20	1038	96	-1	
5	1	1	1	1	1	20	20	187	96	40.773735	13
5	1	1	1	1	2	537	41	29	54	96.929924	1
5	1	1	1	1	3	778	39	38	56	97.012398	2
5	1	1	1	1	4	1017	40	41	56	96.920334	6
4	1	1	1	2	0	46	140	646	76	-1	
5	1	1	1	2	1	46	140	101	76	90.061638	7
5	1	1	1	2	2	285	159	407	57	5.227585	|5|269
4	1	1	1	3	0	60	255	880	105	-1	
5	1	1	1	3	1	60	260	251	96	32.586487	Jie
5	1	1	1	3	2	362	255	141	105	32.549896	[3]
5	1	1	1	3	3	531	280	41	56	32.549896	8
5	1	1	1	3	4	778	281	41	55	74.933502	7
5	1	1	1	3	5	896	281	44	54	74.933502	4
4	1	1	1	4	0	45	405	1013	57	-1	
5	1	1	1	4	1	45	406	39	56	96.797112	5
5	1	1	1	4	2	897	406	41	56	89.701645	8
5	1	1	1	4	3	1018	405	40	56	92.379547	2
4	1	1	1	5	0	46	525	647	57	-1	
5	1	1	1	5	1	46	525	155	56	81.926956	21
5	1	1	1	5	2	410	527	44	54	96.752686	4
5	1	1	1	5	3	651	525	42	57	96.409546	3
4	1	1	1	6	0	165	646	287	56	-1	
5	1	1	1	6	1	165	646	41	56	57.944828	6
5	1	1	1	6	2	286	621	166	101	24.172131	7/\5
4	1	1	1	7	0	285	747	653	101	-1	
5	1	1	1	7	1	285	747	162	101	84.776482	9/1
5	1	1	1	7	2	776	772	162	56	71.626762	45
4	1	1	1	8	0	291	867	527	100	-1	
5	1	1	1	8	1	291	867	162	100	37.320114	1/7
5	1	1	1	8	2	650	892	168	56	45.996605	4/9
